operator,station_count
AUTOSERVICE LEIZ 24H,1
AUTOHAUS ROTH 24H,1
EC - TANKSTELLE ROLFES,1
TANKSTELLE GEBAUER,1
TANKSTELLE AMLER,1
OHO - TANKSTELLE & SHOP,1
GÜNSTIGE TANKSTELLE SCHAAL,1
LIQUI-MOLY,1
BFT TANKSTELLE HARTENSTEIN,1
FREIE TANKSTELLE LANGHANS GMBH,1
TOMS TANKSTELLE,1
GT BRENNSTOFFVERTRIEB GMBH,1
TANKSTELLE CUNOW NIENBURG,1
NITROL TANKSTATION AHLERT JUNIOR,1
EGENOLF FREIE TS,1
AUTO-WENTSCH MTB,1
ACB-AUTOCENTER-BIBERACH,1
SIDLER TRILLFINGEN 24H,1
FREIE TANKSTELLE WEILHEIM-TECK,1
FREIETANKSTELLE BIEDERBACH,1
TANK + WASCH PARADIES FUCHS,1
FREIE TANKSTELLE LEYH GMBH,1
FUS GMBH MINERALÖLE,1
RAIFFEISEN HUNSRUECK,1
BAG HOHENLOHE,1
TANKSTELLE GEMMER,1
AUTOSERVICE SPITZ TANKSTELLE,1
